INFO 2025-04-29 13:45:57,296 basehttp "GET /static/assets/js/superfish.min.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,297 basehttp "GET /static/assets/js/jquery.hoverIntent.min.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,297 basehttp "GET /static/assets/js/jquery.waypoints.min.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,319 basehttp "GET /static/assets/js/jquery.plugin.min.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,327 basehttp "GET /static/assets/js/jquery.countdown.min.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,326 basehttp "GET /static/assets/js/bootstrap-input-spinner.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,322 basehttp "GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,349 basehttp "GET /static/assets/js/jquery.magnific-popup.min.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,397 basehttp "GET /static/assets/js/main.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,398 basehttp "GET /static/assets/js/demos/demo-24.js HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,420 basehttp "GET /static/assets/images/demos/demo-24/logo.png HTTP/1.1" 304 0
WARNING 2025-04-29 13:45:57,443 log Not Found: /media/product_images/pro_3_1.jpg
WARNING 2025-04-29 13:45:57,444 basehttp "GET /media/product_images/pro_3_1.jpg HTTP/1.1" 404 6672
WARNING 2025-04-29 13:45:57,433 log Not Found: /media/product_images/pro_2_1.jpg
WARNING 2025-04-29 13:45:57,450 basehttp "GET /media/product_images/pro_2_1.jpg HTTP/1.1" 404 6672
INFO 2025-04-29 13:45:57,472 basehttp "GET /static/own_img/video_img.jpeg HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,479 basehttp "GET /static/own_img/main_with.jpeg HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,481 basehttp "GET /static/own_img/footer_logo.jpeg HTTP/1.1" 304 0
INFO 2025-04-29 13:45:57,539 basehttp "GET /static/assets/fonts/molla0ab2.woff2?74273691 HTTP/1.1" 304 0
INFO 2025-04-29 13:45:58,410 basehttp "GET /static/own_img/faicon.jpeg HTTP/1.1" 304 0
INFO 2025-04-30 14:15:37,846 autoreload Watching for file changes with StatReloader
INFO 2025-04-30 14:15:49,407 basehttp "GET / HTTP/1.1" 200 28578
INFO 2025-04-30 14:15:49,529 basehttp "GET /static/assets/css/plugins/owl-carousel/owl.carousel.css HTTP/1.1" 200 9553
INFO 2025-04-30 14:15:49,537 basehttp "GET /static/assets/css/plugins/jquery.countdown.css HTTP/1.1" 200 1111
INFO 2025-04-30 14:15:49,539 basehttp "GET /static/assets/css/plugins/magnific-popup/magnific-popup.css HTTP/1.1" 200 6016
INFO 2025-04-30 14:15:49,550 basehttp "GET /static/assets/css/demos/demo-24.css HTTP/1.1" 200 16857
INFO 2025-04-30 14:15:49,551 basehttp "GET /static/assets/css/skins/skin-demo-24.css HTTP/1.1" 200 26051
INFO 2025-04-30 14:15:49,551 basehttp "GET /static/assets/css/own_style.css HTTP/1.1" 200 1043
INFO 2025-04-30 14:15:49,554 basehttp "GET /static/assets/css/bootstrap.min.css HTTP/1.1" 200 155758
INFO 2025-04-30 14:15:49,555 basehttp "GET /static/assets/css/style.css HTTP/1.1" 200 272428
INFO 2025-04-30 14:15:49,557 basehttp "GET /static/own_img/sec_1.jpeg HTTP/1.1" 200 163745
INFO 2025-04-30 14:15:49,584 basehttp "GET /static/own_img/sec_2.jpeg HTTP/1.1" 200 106896
INFO 2025-04-30 14:15:49,591 basehttp "GET /static/own_img/new/Sar%2002.jpg HTTP/1.1" 200 7184946
WARNING 2025-04-30 14:15:49,607 log Not Found: /media/product_images/pro_1_1.jpg
WARNING 2025-04-30 14:15:49,607 basehttp "GET /media/product_images/pro_1_1.jpg HTTP/1.1" 404 6672
INFO 2025-04-30 14:15:49,679 basehttp "GET /static/assets/js/jquery.min.js HTTP/1.1" 200 88145
INFO 2025-04-30 14:15:49,680 basehttp "GET /static/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
INFO 2025-04-30 14:15:49,711 basehttp "GET /static/assets/js/jquery.hoverIntent.min.js HTTP/1.1" 200 2317
INFO 2025-04-30 14:15:49,718 basehttp "GET /static/assets/js/superfish.min.js HTTP/1.1" 200 4508
INFO 2025-04-30 14:15:49,718 basehttp "GET /static/assets/js/jquery.waypoints.min.js HTTP/1.1" 200 10275
INFO 2025-04-30 14:15:49,741 basehttp "GET /static/assets/js/bootstrap-input-spinner.js HTTP/1.1" 200 11736
INFO 2025-04-30 14:15:49,741 basehttp "GET /static/assets/js/jquery.plugin.min.js HTTP/1.1" 200 3400
INFO 2025-04-30 14:15:49,742 basehttp "GET /static/assets/js/jquery.countdown.min.js HTTP/1.1" 200 13652
INFO 2025-04-30 14:15:49,743 basehttp "GET /static/assets/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20229
INFO 2025-04-30 14:15:49,743 basehttp "GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 44342
INFO 2025-04-30 14:15:49,748 basehttp "GET /static/assets/js/demos/demo-24.js HTTP/1.1" 200 1184
INFO 2025-04-30 14:15:49,749 basehttp "GET /static/assets/js/main.js HTTP/1.1" 200 26530
INFO 2025-04-30 14:15:49,756 basehttp "GET /static/assets/images/demos/demo-24/logo.png HTTP/1.1" 200 55306
INFO 2025-04-30 14:15:49,787 basehttp "GET /static/own_img/main_with.jpeg HTTP/1.1" 200 120785
WARNING 2025-04-30 14:15:49,812 log Not Found: /media/product_images/pro_3_1.jpg
WARNING 2025-04-30 14:15:49,819 log Not Found: /media/product_images/pro_2_1.jpg
